LOC Lines of Code
SLOC-P Executable Lines of Code Physical
SLOC-L Executable Lines of Code Logical
MVG McCabe VG complexity
BLOC Blank Lines of Code
C&SLOC Code and Comment Lines of Code
CLOC Comment Lines of Code Only
CWORD Commentary Words
HCLOC Header Comment Lines of Code
HCWORD Header Commentary Words

File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,9755,6143,3279,677,1338,101,2274,6988,776,2325
